x,y
-2.51465663326,-3.94932908512
-2.41262549864,-3.92588183883
-2.29467038413,-3.88528708258
-2.19956667775,-3.85343741975
-2.0998536615,-3.81428738913
-1.99995418524,-3.76620034334
-1.90383369897,-3.72427624928
-1.79457156957,-3.6741643495
-1.69911759791,-3.63153597837
-1.60592316782,-3.5906483338
-1.51117436166,-3.54654504643
-1.41931910688,-3.49411261008
-1.33180818451,-3.44412935329
-1.24031776004,-3.39414200395
-1.14724273946,-3.33772524997
-1.05393665527,-3.28067901106
-0.968545596715,-3.22593264995
