x,y
-2.51465663326,-3.94932908512
-2.51543324292,-3.9493886097
-2.51570837459,-3.94940049549
-2.51625880153,-3.94942426138
-2.51708450983,-3.94945988121
-2.51763439972,-3.9494835814
-2.51818467829,-3.94950728135
-2.51845980424,-3.94951912438
-2.51928526654,-3.94955463163
-2.51930812216,-3.94955561422
-2.51930812216,-3.94955561422
-2.51906862679,-3.95056483341
-2.51906862679,-3.95056483341
-2.51890667461,-3.95124732282
-2.51890667461,-3.95124732282
-2.51878515666,-3.95175943401
-2.51870422825,-3.95210049752
-2.51862330351,-3.95244155216
-2.51861260671,-3.95248663397
-2.51861260671,-3.95248663397
-2.51861260671,-3.95248663397
-2.51765626753,-3.95094840034
-2.5175460819,-3.95077114325
-2.51732783984,-3.95042003733
-2.51699936151,-3.94989154164
-2.51678054324,-3.94953945189
-2.51656171842,-3.94918732885
-2.51645235278,-3.94901133407
-2.51632735524,-3.94881017697
-2.51632735524,-3.94881017697
-2.51632735524,-3.94881017697
-2.51632735524,-3.94881017697
-2.51540503247,-3.94882839205
-2.51493588662,-3.94883768571
-2.51493588662,-3.94883768571
-2.51446647948,-3.94884700372
-2.51446647948,-3.94884700372
-2.5141146642,-3.94885400003
-2.51409898324,-3.94885431212
-2.51409898324,-3.94885431212
-2.51409898324,-3.94885431212
-2.51409898324,-3.94885431212
-2.51417257945,-3.94888935601
-2.51418751581,-3.94889646827
-2.51420242994,-3.94890356998
-2.51422481882,-3.94891423103
-2.51423976295,-3.94892134711
-2.51424722342,-3.94892489965
-2.51425585697,-3.94892901079
-2.51425585697,-3.94892901079
-2.51425585697,-3.94892901079
-2.51425585697,-3.94892901079
-2.51444959841,-3.94916112145
-2.51454842605,-3.94927948794
-2.51454842605,-3.94927948794
-2.51464728566,-3.94939787023
-2.51464728566,-3.94939787023
-2.51472144325,-3.94948665764
-2.51477083882,-3.94954579096
-2.51477680992,-3.94955293882
-2.51477680992,-3.94955293882
-2.51477680992,-3.94955293882
-2.51526805086,-3.94928008817
-2.5153946726,-3.94920976304
-2.51552139328,-3.94913938483
-2.51571137897,-3.94903387396
-2.51583800576,-3.94896355257
-2.51590133966,-3.94892838118
-2.51609132969,-3.94882287631
-2.51621799209,-3.94875254074
-2.51634466586,-3.94868220073
-2.51635796407,-3.94867481654
-2.51662447702,-3.94815412117
-2.51676517024,-3.94787939326
-2.51676517024,-3.94787939326
-2.51704684568,-3.94732968228
-2.51704684568,-3.94732968228
-2.5172581352,-3.94691760495
-2.51739909737,-3.94664281541
-2.51753997656,-3.9463682903
-2.51761880609,-3.9462147234
-2.51761880609,-3.9462147234
-2.51788626761,-3.94702854859
-2.51799594604,-3.94736221991
-2.51810543153,-3.94769527214
-2.51826997083,-3.94819573635
-2.51837958014,-3.94852908484
-2.51843470055,-3.94869670724
-2.51859882347,-3.94919576058
-2.51870844833,-3.94952906004
-2.51881811019,-3.94986243985
-2.51882929451,-3.94989643919
-2.51857663608,-3.94986788104
-2.51844355363,-3.94985280383
-2.51844355363,-3.94985280383
-2.51817739459,-3.949822578
-2.51817739459,-3.949822578
-2.51791142093,-3.94979227721
-2.51791142093,-3.94979227721
-2.51771197764,-3.94976949285
-2.51770259015,-3.94976841909
-2.51770259015,-3.94976841909
-2.51734559987,-3.95005149018
-2.51722434465,-3.95014766602
-2.51710272654,-3.95024414396
-2.51710272654,-3.95024414396
-2.51679775532,-3.95048613617
-2.51673773613,-3.95053377149
-2.51655530064,-3.95067858611
-2.51643370827,-3.95077512221
-2.51631183155,-3.9508718984
-2.51619039683,-3.9509683379
-2.51601968794,-3.95155968317
-2.51584475843,-3.95219201631
-2.51566987784,-3.95282419646
-2.51549503364,-3.95345626882
-2.51549503364,-3.95345626882
-2.51514535437,-3.95472045188
-2.51514535437,-3.95472045188
-2.51488292213,-3.95566927632
-2.51470834587,-3.95630048695
-2.51453315169,-3.9569339556
-2.51472844254,-3.95632956707
-2.51497050534,-3.95556928162
-2.51521258238,-3.95480902102
-2.51557279405,-3.95367787877
-2.51569349716,-3.95329887944
-2.51593473921,-3.9525414481
-2.51629769643,-3.95140199586
-2.51641839626,-3.95102311065
-2.5165540296,-3.9505973687
-2.5165540296,-3.9505973687
-2.51669092743,-3.94990507299
-2.51673760977,-3.94966904775
-2.51678423068,-3.94943335774
-2.51683096763,-3.94919710581
-2.51687764258,-3.94896119193
-2.51692426053,-3.94872559077
-2.51692426053,-3.94872559077
-2.51699429349,-3.94837169931
-2.51706433773,-3.94801780632
-2.51706433773,-3.94801780632
-2.51709267465,-3.94787465204
-2.51767343404,-3.94737371613
-2.51797977474,-3.94710947916
-2.51828660366,-3.94684481982
-2.51859307638,-3.94658046649
-2.51889994592,-3.94631576962
-2.51935968927,-3.94591920588
-2.51951301848,-3.94578694711
-2.51997334918,-3.94538987301
-2.5201277881,-3.94525665578
-2.52055800519,-3.94488555382
-2.52025477565,-3.94473226787
-2.51997488919,-3.94459078716
-2.519699679,-3.94445167499
-2.51942229138,-3.94431146691
-2.5191450087,-3.94417131663
-2.5191450087,-3.94417131663
-2.51872877121,-3.9439609417
-2.51831255317,-3.9437505873
-2.51831255317,-3.9437505873
-2.51798659677,-3.94358585816
-2.51737676195,-3.94399636378
-2.51691692912,-3.94430618214
-2.51645700105,-3.94461631052
-2.51599658379,-3.94492701532
-2.51553799444,-3.94523673214
-2.51501645117,-3.94558926432
-2.51501645117,-3.94558926432
-2.51501645117,-3.94558926432
-2.51501645117,-3.94558926432
-2.51501645117,-3.94558926432
-2.51439708466,-3.94688695465
-2.51428161869,-3.94712902743
-2.51416640093,-3.94737062677
-2.51405108893,-3.94761247071
-2.51393575147,-3.94785441509
-2.51393575147,-3.94785441509
-2.51370515963,-3.94833827074
-2.51358987501,-3.94858024545
-2.51358987501,-3.94858024545
-2.51352185213,-3.94872304305
-2.51419742588,-3.94889952741
-2.5145511787,-3.94899199005
-2.5149052258,-3.94908456365
-2.51525874908,-3.94917703418
-2.51561272691,-3.94926965747
-2.51596624424,-3.94936219403
-2.51632005588,-3.94945484133
-2.51685081758,-3.94959388697
-2.51707827436,-3.94948826586
-2.51745649233,-3.9495874086
-2.51773719134,-3.94938255977
-2.51793338869,-3.94923941871
-2.5180416278,-3.94915119364
-2.51823797289,-3.94900804249
-2.51843437075,-3.94886488561
-2.51843437075,-3.94886488561
-2.51870155188,-3.94853679815
-2.51864658168,-3.94831016776
-2.51864658168,-3.94831016776
-2.51866634767,-3.94828622285
-2.51921566932,-3.94793932467
-2.519387784,-3.94780708048
-2.51947135852,-3.94773018305
-2.51948111943,-3.94745903188
-2.51940035539,-3.94724380404
-2.5193207228,-3.94702829479
-2.51915318299,-3.94686803144
-2.51905882705,-3.94646899953
-2.51857910236,-3.94621530997
-2.51836932193,-3.94599169939
-2.51704991243,-3.94603104274
-2.51592380595,-3.94591596936
-2.51449544061,-3.94587050275
-2.51252689534,-3.94556120039
-2.51106093276,-3.94541914628
-2.51106093276,-3.94541914628
-2.50766343472,-3.94506691844
-2.50556815233,-3.94471855311
-2.50556815233,-3.94471855311
-2.50349306718,-3.9445511003
-2.50127304243,-3.94416045595
-2.49686093943,-3.94330739874
-2.49686093943,-3.94330739874
-2.49443321516,-3.94302464228
-2.49041946719,-3.94213624925
-2.48753826095,-3.94161610161
-2.48453062221,-3.94105864578
-2.48113243432,-3.94054752119
-2.47784683651,-3.9396442639
-2.47508312967,-3.93926683819
-2.47076149147,-3.93875399556
-2.46693437978,-3.93831344983
-2.46311711547,-3.93761865003
-2.4589987068,-3.93699772846
-2.45261245946,-3.93564086339
-2.45261245946,-3.93564086339
-2.44349123531,-3.93412151951
-2.43882822548,-3.93324714463
-2.43882822548,-3.93324714463
-2.43408924338,-3.93218166171
-2.42899339815,-3.93094320496
-2.41836328289,-3.92736641087
-2.41836328289,-3.92736641087
-2.41262549864,-3.92588183883
-2.40713048761,-3.92410011752
-2.39852354616,-3.9213934947
-2.39256267552,-3.91954535872
-2.3863306676,-3.91765171209
-2.38004858329,-3.91574353764
-2.3775421488,-3.91501613438
-2.3775421488,-3.91501613438
-2.36389090901,-3.91003141534
-2.35821284778,-3.90800928412
-2.35240802083,-3.9059461482
-2.34656687199,-3.90378555078
-2.34656687199,-3.90378555078
-2.33051097116,-3.89812559452
-2.32412663691,-3.89569926753
-2.32385366314,-3.89559529812
-2.32385366314,-3.89559529812
-2.32385366314,-3.89559529812
-2.29467038413,-3.88528708258
-2.29467038413,-3.88528708258
-2.28737344898,-3.88269179995
-2.27999442602,-3.88005443531
-2.27252814719,-3.87747045458
-2.2610711324,-3.87366639827
-2.25356776208,-3.87098389572
-2.25224550092,-3.87054097613
-2.25224550092,-3.87054097613
-2.22989993225,-3.86342623724
-2.22232747012,-3.86106921217
-2.21468096886,-3.85856464357
-2.20712324409,-3.85600263509
-2.19956667775,-3.85343741975
-2.19201157067,-3.85086948057
-2.18064502264,-3.84695888049
-2.17296729276,-3.84434169648
-2.1655050254,-3.84170669329
-2.1655050254,-3.84170669329
-2.16522800475,-3.8416133646
-2.14233616904,-3.83230252476
-2.14233616904,-3.83230252476
-2.13443159002,-3.82887723911
-2.12674454192,-3.82560959042
-2.11907601938,-3.82208172622
-2.11120423344,-3.81891302014
-2.0998536615,-3.81428738913
-2.09227070759,-3.81092649084
-2.08451388198,-3.80748765882
-2.07701088153,-3.804484784
-2.07067986307,-3.80113423681
-2.06443336318,-3.79819632285
-2.06015503358,-3.79478082862
-2.05479687906,-3.79158710008
-2.04960382434,-3.78852265916
-2.04432444559,-3.78550196017
-2.04250873251,-3.78451042855
-2.04250873251,-3.78451042855
-2.04250873251,-3.78451042855
-2.04250873251,-3.78451042855
-1.99995418524,-3.76620034334
-1.99995418524,-3.76620034334
-1.99115164433,-3.76230395356
-1.98285417414,-3.75863652428
-1.97465339745,-3.75490253387
-1.96643672753,-3.75140450022
-1.95809947065,-3.74785071483
-1.94633879991,-3.74248797606
-1.94012460598,-3.73959702493
-1.94012460598,-3.73959702493
-1.92658416891,-3.7339683038
-1.92013419943,-3.73115325283
-1.91495594148,-3.72921939727
-1.90937492451,-3.72670378978
-1.90383369897,-3.72427624928
-1.89832857986,-3.72193716593
-1.89282569924,-3.71958845749
-1.88387272546,-3.71552811439
-1.88387272546,-3.71552811439
-1.88358956486,-3.71542397956
-1.86174061544,-3.70539028255
-1.86174061544,-3.70539028255
-1.85397936989,-3.70193603441
-1.84665406581,-3.69847406879
-1.83945726576,-3.69505026733
-1.83235878702,-3.69191529571
-1.82520121685,-3.68857429667
-1.81804786509,-3.68522375009
-1.81760783408,-3.68501094901
-1.81760783408,-3.68501094901
-1.79457156957,-3.6741643495
-1.78789827711,-3.67106860311
-1.78096960897,-3.66790148439
-1.77411338724,-3.66473130115
-1.76744667411,-3.66145397057
-1.76063029658,-3.65836297419
-1.75375401004,-3.65541438478
-1.7464838979,-3.65220701418
-1.7464838979,-3.65220701418
-1.73918222748,-3.64896807472
-1.7215327111,-3.64136910145
-1.7215327111,-3.64136910145
-1.71396993671,-3.63793235805
-1.70652739097,-3.63468802544
-1.69911759791,-3.63153597837
-1.69156083636,-3.62822415193
-1.68403622383,-3.62500451489
-1.67657985465,-3.62162931143
-1.66903505305,-3.61829176279
-1.66783095451,-3.61777031478
-1.65185920659,-3.61093113771
-1.64512404637,-3.60781771144
-1.63844004726,-3.60491069108
-1.63207060242,-3.60195039763
-1.62554615833,-3.59917844252
-1.61892958009,-3.5964517518
-1.61249983548,-3.59362917723
-1.60592316782,-3.5906483338
-1.60592316782,-3.5906483338
-1.59008544221,-3.58339101852
-1.58378785191,-3.58059913453
-1.58378785191,-3.58059913453
-1.57829903014,-3.57837565932
-1.57280664968,-3.57613955792
-1.56153083572,-3.57114582966
-1.56153083572,-3.57114582966
-1.55641097352,-3.56925646403
-1.55083491845,-3.5670491191
-1.54532717455,-3.56469231983
-1.53994375013,-3.56238543275
-1.53948676159,-3.56220109104
-1.52415893113,-3.55396000552
-1.51760204602,-3.55002893512
-1.51117436166,-3.54654504643
-1.50447860647,-3.54282400088
-1.49788675465,-3.53906600844
-1.49115435612,-3.53514012218
-1.48746319117,-3.53307465028
-1.48746319117,-3.53307465028
-1.48746319117,-3.53307465028
-1.48746319117,-3.53307465028
-1.4561664684,-3.51558051749
-1.4561664684,-3.51558051749
-1.45008706298,-3.51181388226
-1.437559906,-3.50464479724
-1.437559906,-3.50464479724
-1.43144610142,-3.50110798127
-1.42530896429,-3.49753363799
-1.41931910688,-3.49411261008
-1.41349603624,-3.49049609867
-1.41306891007,-3.49025945776
-1.3984015172,-3.48234484121
-1.39256904808,-3.47898581569
-1.38657978581,-3.47583615372
-1.3808698715,-3.47253006088
-1.37491674343,-3.46929128557
-1.36915200761,-3.46596255841
-1.36353497868,-3.46278806214
-1.36353497868,-3.46278806214
-1.35919957736,-3.46021919663
-1.35919957736,-3.46021919663
-1.33746547525,-3.44777154085
-1.33746547525,-3.44777154085
-1.33180818451,-3.44412935329
-1.32039892125,-3.43747908817
-1.32039892125,-3.43747908817
-1.3148716704,-3.43387676462
-1.30908316756,-3.43040211897
-1.30329765192,-3.42692204191
-1.30250159133,-3.42645577381
-1.30250159133,-3.42645577381
-1.28346845999,-3.41665093657
-1.27339347335,-3.41149662603
-1.26697155715,-3.40800626977
-1.25984405244,-3.40421442489
-1.25333303882,-3.40100945663
-1.24677629177,-3.3975990858
-1.24031776004,-3.39414200395
-1.23393547367,-3.39053455742
-1.22738991896,-3.38710542676
-1.22702605902,-3.38691437318
-1.21587344059,-3.38019557072
-1.21587344059,-3.38019557072
-1.20751600955,-3.37491749892
-1.19643305437,-3.36813449505
-1.19643305437,-3.36813449505
-1.19089072376,-3.36462947919
-1.18537124827,-3.361110357
-1.17968524175,-3.35777078172
-1.17431809669,-3.35423648779
-1.17431809669,-3.35423648779
-1.16229658567,-3.34686749032
-1.15586451038,-3.34258504217
-1.14724273946,-3.33772524997
-1.14095488226,-3.33359690121
-1.13499944841,-3.3297380838
-1.12893042369,-3.32581217972
-1.12281063754,-3.32212609145
-1.11669144592,-3.31843798789
-1.11603427746,-3.31800012533
-1.11603427746,-3.31800012533
-1.1021927273,-3.30952175325
-1.1021927273,-3.30952175325
-1.09770926237,-3.30703089799
-1.08491926068,-3.29970201056
-1.08491926068,-3.29970201056
-1.08056637571,-3.29682302851
-1.07585839716,-3.29388041693
-1.07115311624,-3.29093405361
-1.07055513535,-3.29056013791
-1.07055513535,-3.29056013791
-1.05393665527,-3.28067901106
