x,y
4.00419289947,-11.9624086996
4.00419289947,-11.9624086996
4.00354682123,-11.9624402183
4.00290133223,-11.9624688903
4.00268897389,-11.9627994483
4.00251999972,-11.9631464929
4.00239949404,-11.9632912446
4.00249906107,-11.9636213577
4.00245021538,-11.9638416115
4.0026861172,-11.9641607881
4.00291756627,-11.9645013661
4.00314281361,-11.9646809168
4.00337715558,-11.9650184745
4.00340937449,-11.9650435691
4.00340937449,-11.9650435691
4.00428937599,-11.9655158212
4.00530547284,-11.9660882409
4.00584480179,-11.9663329809
4.00584480179,-11.9663329809
4.00671640349,-11.9666171901
4.00725548873,-11.9668617831
4.0078651285,-11.9671832147
4.00840759915,-11.9674293141
4.00887406268,-11.9675960721
4.00948399922,-11.967917594
4.01002341478,-11.9681622634
4.01045574658,-11.9683709632
4.01107646259,-11.9686608666
4.01127746016,-11.9687517737
4.01186252273,-11.9690072189
4.0122379594,-11.9691632591
4.01260083745,-11.9693075398
4.01266162786,-11.9693310354
4.01266162786,-11.9693310354
4.01283121411,-11.9705749427
4.01283121411,-11.9705749427
4.01294269991,-11.9715875623
4.01303083646,-11.9720512349
4.01303083646,-11.9720512349
4.01316474155,-11.9727456632
4.01325518158,-11.9732080739
4.01334638493,-11.9736691723
4.01343850265,-11.9741297294
4.01353157915,-11.9745899581
4.01354130867,-11.9746377757
4.01419595357,-11.9750712768
4.01446241815,-11.9750627272
4.01517970439,-11.9747947038
4.01517970439,-11.9747947038
4.01560749968,-11.9747379004
4.01599427474,-11.9745599672
4.0164513798,-11.9744578285
4.01681481815,-11.974244193
4.01681481815,-11.974244193
4.01681481815,-11.974244193
4.01700026795,-11.9732080807
4.01720925968,-11.9718338681
4.01739104483,-11.9704183922
4.01739104483,-11.9704183922
4.01768993852,-11.9692126916
4.01800321892,-11.9679435187
4.01871944152,-11.9648484015
4.01871944152,-11.9648484015
4.01913587195,-11.963058085
4.0196747094,-11.9610308483
4.02033087747,-11.9589850265
4.02114149786,-11.9571059955
4.02203819246,-11.9555892402
4.02353678981,-11.951473218
4.02485178522,-11.9491117135
